10|05|A|Includes Machine Guns; Brushes, Machine Gun and Pistol.|Excludes Turrets, Aircraft.||Guns, through 30mm|2001169|
29|20|A|Includes Generators; Magnetos; Spark Plugs; Ignition Coils; Ignition Distributors; Engine Voltage Regulators; Ignition Harness Assemblies; Starting Motors for Engines.|Excludes Vehicular Lighting Fixtures (FSC 6220) and Aircraft Generators (FSC 2925).||Engine Electrical System Components, Nonaircraft|1974091|
29|25|A|Includes Magnetos; Igniters (Spark Plugs); Ignition Coils; Ignition Distributors; Engine Voltage Regulators; Ignition Harness Assemblies; Starting Motors for Engines; Engine Accessory Generators.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |Excludes Aircraft Lighting Fixtures (FSC 6220); Auxiliary Aircraft Generators (FSC 6115).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |Note-Items designed for specific use on aircraft and guided missile prime movers are to be placed in this FSC.|Engine Electrical System Components, Aircraft Prime Moving|1995240|
29|30|A|Includes Cooling Fans; Radiators; Water Pumps; Water Hose Assemblies; Engine Coolant Filters; Components for all Engines except Aircraft and Guided Missile Prime Moving.|||Engine Cooling System Components, Nonaircraft|1974091|
29|35|A|Includes Radiators; Cooling System Pumps; Water Hose Assemblies; Lubricating Oil Coolers and Control Valves; Oil Temperature Regulators.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |Excludes Cooling System Components not specifically designed for use with Aircraft Engines.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |Note-This class includes only cooling system components for aircraft and/or guided missile prime movers only.|Engine System Cooling Components, Aircraft Prime Moving|1995240|
29|40|A|Includes Components for all Engines except Aircraft and Guided Missile Prime Moving.|Excludes Air and Oil Filters (FSC 4310, 4330), Strainers (FSC 4730) and Cleaners (FSC 4310) not specifically designed for use with engines.||Engine Air and Oil Filters, Strainers, and Cleaners, Nonaircraft|1974091|
29|45|A|Includes Air Filters; Oil Filters; Strainers; Cleaners.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |Excludes Fuel Filters (FSC 2915); Items designed for other than Engines.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |Note-Items placed in this FSC should be specifically designed for use on aircraft or guided missile prime movers only.|Engine Air and Oil Filters, Cleaners, Aircraft Prime Moving|1995240|
29|50|A|Includes Turbosupercharged Regulators; Engine Turbosuperchargers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |Excludes Engine Integrated Superchargers (FSG 28).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |Note-All turbosuperchargers and their components not elsewhere classifiable will be classified in this FSC.|Turbosupercharger and Components|1995240|
29|90|A|Includes Engine Dynafocal Suspension Mounts; Engine Driven Superchargers (not integrated with engine); Starter Cranks; Engine Starter Ropes; Exhaust Mufflers; Hand Inertia Starters; Air Duct Heaters; Engine Governors; Intake Mufflers; Combustion Type Starters; Miscellaneous Accessories for all Engines except Aircraft and Guided Missile Prime Moving.|Excludes Electrical Starters Non-Aircraft (FSC 2920); Aircraft (FSC 2925).||Miscellaneous Engine Accessories, Nonaircraft|1974091|
29|95|A|Includes Engine Dynafocal Suspension Mounts; Engine Cowling Mounts; Engine Mounted Control Assemblies; Pneumatic Starters; Push-Pull Control Assemblies;Specially designed Jet Engine Air, Oil, Anti-icing and Hydraulic Regulators; Valves and Pumps; Starting Units.|Excludes Exhaust System; (FSC 1560); Jet Engine Hydraulic Reservoirs (FSC 2840); Jet Engine Oil Tanks (FSC 2840); Electrical Starters (FSC 2925); Cockpit Mounted Control Quadrants (FSC 1680); Aircraft Engine Covers (FSC 1730).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |Note-Items classified in this class must be specifically designed for use with aircraft or quided missile primemovers only.|Miscellaneous Engine Accessories, Aircraft|1995240|
30|10|A|Includes Fluid Couplings; Nonvehicular Clutches and Couplings; Horizontal Right Angle Drive Gear Units.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |Excludes Automotive Torque Converters (FSC 2520); Vehicular Power Transmission Components (FSC 2520); Rotary Aircraft Transmission Gear Units (FSC 1615).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ||Torque Converters and Speed Changers|1995181|
30|20|A|Includes Power Transmission Chain; Matched Gear Sets.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |Excludes Reduction Gears (FSC 3010).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ||Gears, Pulleys, Sprockets, and Transmission Chain|1995181|
30|30|A|Includes Belt Lacings; Belt Pins.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ||Belting, Drive Belts, Fan Belts, and Accessories|1995181|
30|40|A|Includes Shafts and Shafting; Collars; Gearshafts; Ball Joints; Actuating Cylinders.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ||Miscellaneous Power Transmission Equipment|1995181|
31|10|A|Includes Ball Bearings; Roller Bearings; Balls; Races.|Excludes Plain Bearings (FSC 3120); Jewel Bearings (FSC 3120)|Note-This class includes bearings that generally have roller or balls confined by an inner and outer ring to relieve friction in/on/around rotating/moving mechanisms.|Bearings, Antifriction, Unmounted|1974091|
31|20|A|Includes Sleeve Bearings; Split Bearings; Washer Type Bearings; Jewel Bearings.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |Excludes Antifriction Bearings (FSC 3110); Mounted Bearings (FSC 3130).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |Note-Bearings in this class are generally one piece that retain and position moving and/or rotating parts. They may have lubrication grooves/fittings/facilities or include pre-lubrication.|Bearings, Plain, Unmounted|1995240|
31|30|A|Includes Pillow Block Units; Cartridge Units; Flange Units; Takeup Units; Hanger Box Units; Flat Box Units; Step Box Units.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |Excludes Antifriction Bearings (FSC 3110); Plain Unmounted Bearings (FSC 3120).|Note-This class includes bearings that generally have roller or balls confined by an inner and outer ring to relieve friction in/on/around rotating/moving mechanisms.|Bearings, Mounted|1995240|
32|10|A||||Sawmill and Planing Mill Machinery|1974091|
32|20|A|Includes Mortisers; Tenoners; Veneer Lathes.|Excludes Hand Held Power Driven Tools; Hand Held Tools Operated by Flexible Shaft.||Woodworking Machines|1974091|
32|30|A|Includes Circular and Band Saw Blades; Cutter Heads; Jointer and Notcher Heads; Cutters.|Excludes Head Turning Tools.||Tools and Attachments for Woodworking Machinery|1974091|
33|65|A|                                                                                                   |                                                                                                   |Note-This FSC reinstated for file maintenance purposes only. No new items may be added to this FSC.|Historical FSC|2009328|
33|75|A|                                                                                                   |                                                                                                   |Note-This FSC reinstated for file maintenance purposes only. No new items may be added to this FSC.|Historical FSC|2009322|
34|05|A|Includes Cutoff Machines; Saw Blade Dressing Machines; Retoothing Machines.|||Saws and Filing Machines|1974091|
34|08|A|||Note-The following definitions apply to "Machining Centers" and "Way-type Machines".  a. "Machining Center", refers to a multipurpose numerically controlled machine tool for the complete and automatic machining of parts requiring multiple operations such as milling, drilling, tapping, boring, and reaming, having an integral tool storage device and an integral means for positioning various faces of the work piece. It must have facilities for automatic interchanging of varied cutting tools between successive operations. Excluded from this class are multipurpose numerically controlled machine tools, such as Boring-Drilling-Milling Machines, which require the use of an attachment or accessory for tool storage and/or to position the various faces of a work piece. These types of equipment are classified in other appropriate classes within group 34.  b. "Way-type Machine", refers to a special machine tool of station type design consisting of individually mounted self-contained machining units and facilities for indexing the work piece to each station in a predetermined sequence. The machining unit(s) may be disassembled and rearranged to accommodate different work piece configurations. Machine is capable of performing single or multiple operations on the work piece simultaneously or in sequence to each station.|Machining Centers and Way-Type Machines|1974091|
